CD45 APC-A750-A,SSC-A,cell_type
0.4080319581639405,0.38859631541592105,
0.4996927018239949,0.4015531893156564,F
0.5024343870999562,0.48967284945674605,F
0.6839759687291782,0.6005337338496526,
0.8897943898607859,0.37217001754014,Lym
0.8460064027450425,0.6253610268584903,Gra
0.6938150303455743,0.48513582357493257,F
0.5318196034313476,0.37731574102295085,F
0.7701856208760759,0.5973398851811265,Gra
0.44894536959868825,0.40926386179668106,
0.8681310481962977,0.5045505326473094,Mono
0.40872835441043354,0.6378048377381168,
0.6895819356951085,0.5157112603634141,F
0.8922026978814892,0.5268733121743784,Mono
0.5323610406702877,0.7310942149220929,
0.8789198771885871,0.6588236163445506,C
0.8254839180115175,0.688284656706505,C
0.7469063920726734,0.5729797371048482,Gra
0.41802784402240123,0.43559470748809787,
0.8175179692889184,0.5761072085360676,Gra
0.890592539151973,0.5137682950835458,Mono
0.8403675544177727,0.6501250635883341,C
0.8588705741684327,0.38030187665791937,Lym
0.8794965254847625,0.5067587842538054,Mono
0.8707296988042608,0.5228276580714332,Mono
0.5046679923266623,0.38718069093242774,F
0.4876083502280024,0.43253271124591663,F
0.46042534141838076,0.6060498081405814,
0.8832726987239541,0.5700157820549848,
0.7869197412818378,0.556231976470856,Gra
0.8410922615572766,0.5168795715667861,Mono
0.39652460672504997,0.35470549370971827,
0.2960445952301874,0.41743156488618577,
0.8645073378537331,0.3997311793907073,Lym
0.8335828987506706,0.5655849875194445,Gra
0.8322825161795884,0.5767685736436103,Gra
0.4921395411447953,0.4700993400194825,F
0.9003251771092594,0.5494812960180354,Mono
0.5841341918000622,0.45945518288874176,F
0.6163878661650335,0.504056572740913,F
0.7430518756850857,0.5931119527248633,Gra
0.7188221132050017,0.5583633142030365,
0.5421186917840322,0.443450812195302,F
0.7330399430435871,0.4513080195159923,
0.9017018554753683,0.5152473826188178,Mono
0.7919170536504588,0.56124261442076,Gra
0.7588207290542217,0.5923514734531027,Gra
0.7837157634285501,0.6812880052927096,
0.870340192386557,0.6815281498160842,C
0.5477596705246074,0.4390170286757421,F
0.8738083723176322,0.4112396221858505,Lym
0.9102633824946813,0.5266570899803389,Mono
0.5805017432890253,0.44531365392783484,F
0.45327926708439586,0.4098441410713444,
0.7684614239919515,0.6012847415738135,Gra
0.7613953165069506,0.41347978637617533,
0.8905585703043948,0.5237424409181044,Mono
0.7439156596993504,0.6083913889347783,Gra
0.8324348019157327,0.6105451775985136,Gra
0.8812865996692514,0.5089873012993228,Mono
0.47391889336374543,0.38214301177229826,F
0.8946073980611723,0.4247422571227302,Lym
0.34267161381542577,0.3281504452920933,
0.753971093448188,0.575203665823853,Gra
0.633295237677225,0.2844655168384283,
0.47391889336374543,0.3972785297217636,F
0.794863186909684,0.5514191426802377,Gra
0.8199091095924963,0.6373544236248843,Gra
0.7909832219175342,0.47379030746585427,
0.7201891603267795,0.521267770097169,
0.505121045821078,0.4127746632663151,F
0.7413546692760262,0.5831471127755329,Gra
0.7488958310308426,0.5799056376426208,Gra
0.920525473458463,0.5254439144301781,Mono
0.8046199424736133,0.5880749451100764,Gra
0.517335349373346,0.42538955683833796,F
0.9004661450843057,0.6577937383150081,
0.8511189982340932,0.5197856429931466,Mono
0.8690686754687977,0.5185544823184915,Mono
0.6643656612443877,0.35488027103323433,
0.5252958287433138,0.5378571801538805,F
0.882769144846623,0.526489807313763,Mono
0.46447259650663564,0.3579679389706165,F
0.7583378497522129,0.6119721303841856,Gra
0.8579368211080658,0.49132689638809907,Mono
0.14419516895636236,0.41648181630274256,
0.8674059685942915,0.6141137193293783,
0.19149013558242883,0.42275949159235304,
0.46522033715367633,0.39453159959927,F
0.8651113281903596,0.4019600832353424,Lym
0.8008984114511992,0.577751111213583,Gra
0.8964341909398882,0.5763823414511645,
0.8457421453390183,0.4265144674157123,Lym
0.7445833349029704,0.6070319660358848,Gra
0.9269095413551894,0.5591546012535513,Mono
0.8299898159106889,0.5895546773870172,Gra
0.48178138120397973,0.4751958087255041,F
0.77223724992318,0.6096916550507175,Gra
0.3956666288416766,0.3935473417313352,
0.4390958961359166,0.34962467136377834,
0.873521709684285,0.4129781316686962,Lym
0.8496255801694281,0.3762749763223115,Lym
0.5630432193360384,0.42210811429432943,F
0.9221688611542278,0.5755248004566242,
0.7534922409822898,0.5333646259401124,Gra
0.741219875465032,0.3803447955700596,
0.8659433330465476,0.5561590353540342,Mono
0.8979944768661835,0.5416722903048203,Mono
0.49901581189001637,0.5221644696772926,F
0.8488273585283932,0.5338254701269248,Mono
0.8965384126616767,0.4074278171306251,Lym
0.867865857560673,0.6154161765860107,
0.7481179184838299,0.5901246687745353,Gra
0.4507619259751961,0.4132425368669059,
0.7589215276304705,0.6119810915840772,Gra
0.8153571304506885,0.5846560623358067,Gra
0.7709963670901849,0.6207855253807804,Gra
0.5624928386922652,0.47948145154545024,F
0.8680144349144557,0.4927885918376808,Mono
0.45625318226552836,0.3110432651622809,
0.5071507465605741,0.354617048345257,F
0.8831170852949412,0.4919979910243631,Mono
0.42425830693917194,0.40698836504937974,
0.5119797285999687,0.4424409571867317,F
0.4756366374178902,0.3851463431061016,F
0.8044184511537512,0.5681791695535521,Gra
0.7914884219822537,0.634156693032002,Gra
0.8771920062143179,0.40690173527067386,Lym
0.8773916969102686,0.5167037061375046,Mono
0.8752934898804389,0.504538760971564,Mono
0.8399738337207654,0.5765484812783792,Gra
0.47612704174959264,0.4195798119722148,F
0.4892367705332772,0.3923556021740316,F
0.8249488815971336,0.5905392287592732,Gra
0.7972449038327183,0.5757298813599806,Gra
0.34129721134246815,0.3049010464152884,
0.45750735265695813,0.39664837823606636,F
0.3347256227016812,0.43335147853814643,
0.4401443715060959,0.3214985763362393,
0.5131998439816251,0.3892963116216904,F
