CD34 ECD-A,CD45 APC-A750-A,cell_type
0.5963386000407849,0.7498454086735866,
0.6087746140718814,0.7200919957480482,
0.5449604309878775,0.7733613152459288,
0.5931769582881832,0.7955760230912519,
0.5845226362902228,0.8204717018270278,
0.4053191307481073,0.46348552579795566,
0.6061124735772389,0.7590625260282549,
0.5122465931939797,0.7635367342486524,
0.5501581947713348,0.7850349842651646,
0.5389064374563172,0.6078663237718683,
0.4086318731026505,0.8332599370030515,
0.609532812506983,0.815790913916829,
0.48784391752430306,0.5412603008972245,
0.5717874336923716,0.8300207137648541,
0.5949949402645888,0.7820955845448149,
0.6132618177997132,0.8578704953728516,
0.5165279823920955,0.8803304738447806,
0.436406051896772,0.43722217837056415,
0.5155248366262364,0.4737200412494691,
0.5922226525776514,0.8008902972499432,
0.5803552262210023,0.7891610537715938,
0.6129182814810518,0.6552167680509184,
0.5326538702839747,0.6327318393446655,
0.6304535145318185,0.8017034169136011,
0.44525018358665364,0.8430861174291333,
0.5462807896339119,0.6280423161599081,
0.5805097504196121,0.7894341939529227,
0.5409037495635282,0.6416344962914279,
0.6108345781193989,0.728331031094377,
0.49894322465094193,0.7592726577594024,
0.4796282375961758,0.6305679198126061,
0.5696875862954791,0.7923564760216073,
0.6354742176774156,0.8203573707915297,
0.5898949317159549,0.7605652889056949,
0.5332584842188542,0.7629701241598212,
0.5472414497429001,0.8687124680703929,
0.617194639080396,0.8285349540843452,
0.6485141360159173,0.7879236198118617,
0.5369440353065259,0.6544815819143338,
0.5697261148660693,0.7862895507959738,
0.6162175725972391,0.8061358982202252,
0.4662878199716927,0.38180506630091304,
0.38607769796321395,0.5272995342535651,
0.6217198721458567,0.8231749764861492,
0.6592583311279361,0.8725057502710588,
0.5744432597130366,0.7919545275636979,
0.4457025682334491,0.5768289395502073,
0.5608212040262499,0.6131928208401489,
0.573953241266538,0.6433488654514636,
0.603161475955583,0.802680903091551,
0.5257474841131213,0.7555556435971524,
0.5067336599989752,0.5362549147355784,
0.5093474140874142,0.8100413500794235,
0.5871422464536417,0.78832365118273,
0.4385031031758952,0.8373185568618984,
0.521434690892365,0.7605417788818521,
0.37740069962435335,0.45808856256616765,
0.5882720011342615,0.8045592718817915,
0.6210877642485184,0.5925940707018654,
0.4803903575989726,0.5634091611056679,
0.5547558195524396,0.8290238436162973,
0.7162062634160211,0.7802479752133222,H
0.6245387448445946,0.6990425403277886,
