SSC-A,CD45 APC-A750-A,cell_type
0.2816292041252389,0.7498454086735866,
0.38784177971405814,0.7200919957480482,
0.49892594277232716,0.7733613152459288,Gra
0.5169806871060902,0.7955760230912519,Gra
0.49034367432995163,0.8204717018270278,Gra
0.215456253746875,0.46348552579795566,F
0.42269299870279664,0.7590625260282549,Gra
0.46322008207041865,0.7635367342486524,Gra
0.4883289818426605,0.7850349842651646,Gra
0.3509974141850726,0.6078663237718683,
0.28867151682840186,0.8332599370030515,Lym
0.5475730375108433,0.815790913916829,Gra
0.28376872795203956,0.5412603008972245,F
0.5146778458779038,0.8300207137648541,Gra
0.33849436015917667,0.8416947489426055,Lym
0.29311881123725514,0.7820955845448149,
0.5212128374976799,0.8578704953728516,Mono
0.2830997844777464,0.8803304738447806,Lym
0.5175562055530067,0.43722217837056415,
0.6504641748297435,0.4737200412494691,
0.546124631454581,0.8008902972499432,Gra
0.44373706695068466,0.7891610537715938,Gra
0.547210312227681,0.6552167680509184,
0.43960039760134517,0.6327318393446655,
0.564646433718995,0.8017034169136011,Gra
0.3438456013095097,0.8430861174291333,Lym
0.5453062991450076,0.5063955011928526,
0.32288387080981357,0.6280423161599081,
0.5032528867701231,0.7894341939529227,Gra
0.5153253983162578,0.6416344962914279,
0.5192036803222543,0.728331031094377,Gra
0.46986868561336725,0.7592726577594024,Gra
0.44016214884283533,0.6305679198126061,
0.5205690082545513,0.7923564760216073,Gra
0.5481432037829643,0.8203573707915297,Gra
0.5155723027241048,0.7605652889056949,Gra
0.443752325745779,0.7629701241598212,Gra
0.4166971954260189,0.8687124680703929,Lym
0.28024378273187583,0.8783627356550706,Lym
0.5318152078839609,0.8285349540843452,Gra
0.3661524584178321,0.7879236198118617,
0.5219165582574155,0.6544815819143338,
0.47823955478502567,0.7862895507959738,Gra
0.5351000107687767,0.8061358982202252,Gra
0.5420060137907448,0.38180506630091304,
0.27547720020776917,0.5272995342535651,F
0.3481985268906505,0.2453638026780602,
0.53817447748899,0.8231749764861492,Gra
0.6233321714395134,0.8725057502710588,C
0.4717452571841677,0.7919545275636979,Gra
0.38111921248525765,0.5768289395502073,
0.40914366047352657,0.6131928208401489,
0.5088344357678265,0.6433488654514636,
0.5173533629228942,0.802680903091551,Gra
0.4695071110546634,0.7555556435971524,Gra
0.290367629002462,0.5362549147355784,F
0.5212150018694833,0.8100413500794235,Gra
0.5560538513734401,0.78832365118273,Gra
