CD45 APC-A750-A,SSC-A,cell_type
0.8574413220918364,0.47489149507635003,Gra
0.8333345407115363,0.4045053337368755,Gra
0.8239397255657059,0.5408831621794162,Gra
0.8668975465325057,0.4499312393985002,Gra
0.8024246319699058,0.4426050624293762,Gra
0.9079099162455901,0.3493450775897649,Lym
0.8768295639922563,0.2419480242945832,Lym
0.9027095518994036,0.26646828373526027,Lym
0.881374748781042,0.4998078369881405,Gra
0.5467366301287919,0.2618048920667752,F
0.479911922351988,0.35442409934820585,F
0.8507342971430762,0.541325887639793,Gra
0.8912578009100814,0.19899311704843536,Lym
0.8171372192988641,0.5411464568351586,Gra
0.7915777661219254,0.42653131731504235,Gra
0.8264082300526814,0.42929754766808653,Gra
0.49894910271309617,0.3867143816911769,F
0.8903932292147683,0.5969780872373877,C
0.8820530078599501,0.6077379749295808,C
0.8681351271943815,0.6846768888776642,C
0.8798094691222795,0.2530518398608979,Lym
0.6498699496495713,0.3444049215921912,F
0.7938668436420644,0.4960113860605733,Gra
0.809676678511473,0.40907928630647256,Gra
0.8847097051714733,0.23491550985412377,Lym
0.8093268560052033,0.5268152533839383,Gra
0.7929640005950275,0.4492883562976932,Gra
0.8411697992306342,0.4712088338312449,Gra
0.7822262429941448,0.47469311894719046,Gra
0.8706866895436948,0.22551813090750383,Lym
0.9070473135302398,0.28779025251010054,Lym
0.8053990039818587,0.5408379200996368,Gra
0.8848409056843528,0.2914420727595412,Lym
0.8847903922397574,0.26737250569233684,Lym
0.876521195053953,0.2811554376722878,Lym
0.8611697574427294,0.4367920090872502,Gra
0.8770009250773242,0.29456936119038596,Lym
0.808588374826773,0.5488269137392123,Gra
0.8765921771899126,0.24654603513838586,Lym
0.8830777182386926,0.4172075309371993,Mono
0.5969854912733827,0.36646227485763677,F
0.8470463040253473,0.5460698380815732,Gra
0.8436700835132159,0.33267848978838305,Lym
0.8383391484433492,0.5920864093624663,Gra
0.8194979479908789,0.46295539629553756,Gra
0.8119175459766556,0.249300185704264,
0.8470541189796015,0.4363174617498749,Gra
0.8853438856590747,0.2867317467185763,Lym
