CD45 APC-A750-A,SSC-A,cell_type
0.5530924442102406,0.5005560272352285,F
0.6696773802562416,0.5504778782135631,
0.37509928439001233,0.46500218115181924,F
0.4552403841447871,0.46686795524099867,F
0.69515052702618,0.6231897230913177,Gra
0.7606520893756431,0.6705843579307326,Gra
0.6872094751122622,0.6066416475558702,Gra
0.5399419530803782,0.37192588978193847,
0.7637759547459454,0.6232938867069714,Gra
0.8168909981826974,0.7248932386392322,C
0.7390394071293767,0.617886414519545,Gra
0.8344885738240279,0.65072617022752,
0.760182127704953,0.5529823524954306,
0.44799116763306707,0.4717238230231318,F
0.6313445746720784,0.6802686822849509,
0.3943656858454182,0.4457685203627789,F
0.5958271379808305,0.5383571054859481,F
0.42528340587543384,0.5008039256036396,F
0.6356330986969838,0.581657404789199,Gra
0.5924393960525429,0.7012734766630951,
0.8116781164447784,0.5777760096220194,Mono
0.7624010437877075,0.6233168123008995,Gra
0.4769003172192531,0.48963965366010176,F
0.7518324954567207,0.6345031192687716,Gra
0.7893459968127082,0.5527795474390454,Mono
0.809532394690073,0.5739337284214667,Mono
0.569771060555182,0.6254593460840295,
0.6714447465800462,0.6257287531928174,Gra
0.6934232511540991,0.6331878130142476,Gra
0.8032609013269756,0.7380022163140243,C
0.5875300506038014,0.4649742863164343,
0.8982735623481846,0.8177430921466745,
0.7096752869806334,0.6936088955880607,Gra
0.8096758565656552,0.4931619246370942,Lym
0.7443010253845699,0.601782600895591,Gra
0.8214425718821036,0.7453222492342284,C
0.7554913449473608,0.6527811831809738,Gra
0.7220834943888382,0.6650641495190809,Gra
0.5958356870999428,0.6229625444631598,
0.7644325944008304,0.5882538105028866,Gra
0.8382408082075153,0.7124582227445148,C
0.4853950238915442,0.5307241514931426,F
0.7321322879000693,0.6429454623189199,Gra
0.31148896642650714,0.6901028396883637,
0.3490444405316307,0.3760060362235401,F
0.7614457320148794,0.6381403264009663,Gra
0.8997515604668086,0.828495845352364,
0.6010980156023237,0.5012775070753119,F
0.647374222170478,0.635077002807304,Gra
0.7530649250198284,0.6071470560615628,Gra
0.8038994610458124,0.4745821867131481,Lym
0.7236709039837035,0.6764992214104881,Gra
0.5971500325688682,0.656093777382227,
0.7593562382025713,0.6426184967409844,Gra
0.706071297275232,0.6141488424818587,Gra
0.7126588056987349,0.6629781279589182,Gra
0.7418557049984522,0.5997631028954454,Gra
0.7806953252273611,0.46659493636064053,Lym
0.7372520373050925,0.6441317625125967,Gra
0.821101938873076,0.4500908153164361,Lym
0.446488699478371,0.5288610846797309,F
0.44428001750155943,0.4606733266541019,F
0.8193264535623603,0.7130620235839966,C
0.771053554735813,0.44094553525997177,Lym
0.3648508361640038,0.4582610494596657,F
0.6980466192637343,0.6217345056452741,Gra
0.5691854102496009,0.495562540186892,F
0.7712313853534142,0.6884065366639953,Gra
0.7543042517012898,0.6162483687927838,Gra
0.7462317527672626,0.45259765873387964,Lym
